id_director,name
186758,Jon Sherman
116799,Greta Schiller
144256,Herb Gardner
83555,Carl Prechezer
52194,Tony Randel
1673596,Steve White
35256,Damiano Damiani
548847,Tom Bery
18627,Paul Morrissey
62556,Fred Walton
56141,Irvin S. Yeaworth Jr.
178486,Jeffrey Bloom
2917,James Whale
29648,Dan Curtis
18669,J. Lee Thompson
1035,Paul Schrader
9076,F.W. Murnau
59622,Augusto Caminito
100053,Mario Caiano
88164,Luigi Cozzi
14277,Klaus Kinski
100054,Maurizio Lucidi
19450,Bob Rafelson
1979,Kevin Spacey
10400,Barbra Streisand
42,Lars von Trier
22676,Ole Bornedal
2388,Jonathan Frakes
33433,Scott Hicks
879,Billy Bob Thornton
15189,Michelangelo Antonioni
69237,Joe Berlinger
69238,Bruce Sinofsky
95972,Hans Petter Moland
37626,Patrice Leconte
236579,Curzio Malaparte
9888,Claire Denis
1788,Nicholas Meyer
1748,William Shatner
1749,Leonard Nimoy
56755,Patricia Birch
1202000,Daniel J. Sullivan
86004,Joseph H. Lewis
8558,Joe Alves
13235,Alexander Payne
11649,Cameron Crowe
1224,Ethan Coen
5657,Anjelica Huston
59635,Jerry Zaks
1495632,Martin Donovan
17403,Mike Judge
68319,Robert Harling
2589,Terry George
69099,Dan Ireland
13,Albert Brooks
118441,Murray Lerner
88970,Ralph Ziman
127716,Robert Young
101767,Robert Butler
28741,Michael Rymer
5058,Roger Christian
52038,Thomas Carter
5005,François Dupeyron
16838,Steven Paul
2355,Andrew Birkin
34651,Peter Baldwin
68928,E. Max Frye
11688,Jan Svěrák
6198,Vondie Curtis-Hall
13524,Christopher Guest
71871,Sergei Bodrov Jr.
58922,Craig Rosenberg
60865,R. Paul Miller
47974,Bob Spiers
69353,Stephen Kessler
5602,David Lynch
82307,Merzak Allouache
107131,Peter Spirer
33541,Mark Christopher
56947,Peggy Rajski
137392,Nickolas Perry
120515,Theodore Witcher
54733,Greg Mottola
61411,Mark Dindal
68750,Robert Townsend
142513,Emma-Kate Croghan
50099,Shuki Levy
52044,David Winning
26760,Tsui Hark
58294,George Armitage
51575,Leslie Greif
1215282,Lynne Stopkewich
2691,Tom Schulman
356,Jack Green
73622,Alex Sichel
1032175,Seth Zvi Rosenfeld
48663,Nana Dzhordzhadze
58178,David Mirkin
61335,Peter Duncan
6737,Jay Roach
7213,Jonathan Mostow
938945,Gregor Nicholas
74063,Daniel Taplitz
974866,Mo Ogrodnik
2628,Kiefer Sutherland
92108,L.A. Puopolo
17268,Ronny Yu
4724,Kevin Bacon
6817,Agnès Varda
171000,Joe Mantello
68707,Masayuki Suo
83284,Dee McLachlan
228286,Duncan McLachlan
36083,Kevin Allen
2171,Griffin Dunne
55299,Mark Herman
8403,David Hare
118020,Jacques Doillon
79983,Dale Rosenbloom
2880,Emilio Estevez
133420,Clare Peploe
12786,Simon West
1143633,Julia Dyer
222216,Laetitia Masson
563363,Robert Patton-Spruill
66496,Adrienne Shelly
60050,Dana Lustig
7847,Jim Wilson
56435,Stephen T. Kay
1078811,Yvonne Rainer
58608,Shinya Tsukamoto
17520,Cédric Klapisch
120226,Mohsen Makhmalbaf
41040,Tony Gatlif
1284919,Scott Michell
181826,Shirley Barrett
8328,John Milius
87130,Mark A.Z. Dippé
1270,Charles Martin Smith
58689,Neil LaBute
64099,Sam Pillsbury
19142,Kenneth Johnson
1103,Bill Duke
80307,Andy Cadiff
11091,Brett Ratner
70765,John Nicolella
18139,Tony Vitale
61069,Miguel Arteta
51984,Mimi Leder
66121,"George Tillman, Jr."
586698,Matthew Harrison
11419,Robert Kurtzman
77211,Félix Enríquez Alcalá
533977,John Patrick Kelley
65115,Keith Samples
115362,Gavin Wilding
229097,Lionel C. Martin
57630,Peter Cattaneo
1112916,Nancy Meckler
18844,John Madden
33254,Jim Gillespie
76418,Stuart Gillard
28487,Andy Wilson
54050,Mark Waters
8685,Andrew Niccol
77104,Charles Sturridge
1286930,John O'Hagan
66800,Morgan J. Freeman
51864,Kasi Lemmons
7671,Jeb Stuart
21155,Jim Kouf
59874,Robert Downey Sr.
27436,Costa-Gavras
74429,Josh Pate
77086,Jonas Pate
4762,Paul Thomas Anderson
88077,Alex Zamm
7791,Peter Howitt
26714,John R. Leonetti
3192,Billy Hopkins
12881,Gary Goldman
40345,Don Bluth
105287,Scott Harris
3087,Robert Duvall
78725,Agnès Merlet
84896,Sean Mathias
77465,Ash Baron-Cohen
240071,Louis Saïa
1215,Raja Gosnell
58809,Martin Kitrosser
1704,Gore Verbinski
1058100,Cindy Sherman
